,date,gold,silver,week,month,mean_per_week_gold,mean_per_week_silver,mean_per_month_gold,mean_per_month_silver
138,2020-03-25,4054.83,31.71,13,3,4029.47,34.001999999999995,3939.070588235295,38.48882352941176
139,2020-03-24,3886.3,32.84,13,3,4029.47,34.001999999999995,3939.070588235295,38.48882352941176
140,2020-03-21,3774.94,30.12,12,3,3682.612,32.278,3939.070588235295,38.48882352941176
141,2020-03-20,3815.92,32.01,12,3,3682.612,32.278,3939.070588235295,38.48882352941176
142,2020-03-19,3738.58,30.88,12,3,3682.612,32.278,3939.070588235295,38.48882352941176
143,2020-03-18,3497.72,30.8,12,3,3682.612,32.278,3939.070588235295,38.48882352941176
144,2020-03-17,3585.9,37.58,12,3,3682.612,32.278,3939.070588235295,38.48882352941176
145,2020-03-14,3737.0,38.88,11,3,4273.57,51.275,3939.070588235295,38.48882352941176
146,2020-03-13,3895.28,40.51,11,3,4273.57,51.275,3939.070588235295,38.48882352941176
147,2020-12-03,3820.22,39.22,49,12,3630.75,38.50333333333333,4053.986,49.346
148,2020-11-03,3837.74,39.1,45,11,3965.0799999999995,43.43666666666667,3945.444999999999,45.215
149,2020-07-03,3662.03,37.34,27,7,3772.0099999999998,36.958,4215.01619047619,47.62857142857143
150,2020-06-03,3505.62,36.71,23,6,3476.84,37.169999999999995,3928.87375,41.769999999999996
151,2020-05-03,3494.33,35.71,18,5,3789.736,36.122,3994.99894736842,41.0221052631579
152,2020-04-03,3415.91,36.13,14,4,3330.005,36.44,4054.191578947369,39.52736842105263
153,2020-03-03,3432.64,36.65,10,3,3769.8366666666666,39.27,3939.070588235295,38.48882352941176
154,2020-02-29,3502.84,38.88,9,2,3475.9475,38.7025,3581.9237499999995,41.020624999999995
155,2020-02-28,3473.34,38.13,9,2,3475.9475,38.7025,3581.9237499999995,41.020624999999995
156,2020-02-27,3471.31,38.61,9,2,3475.9475,38.7025,3581.9237499999995,41.020624999999995
157,2020-02-26,3456.3,39.19,9,2,3475.9475,38.7025,3581.9237499999995,41.020624999999995
158,2020-02-22,3377.38,38.01,8,2,3289.1760000000004,36.95,3581.9237499999995,41.020624999999995
159,2020-02-21,3300.14,37.59,8,2,3289.1760000000004,36.95,3581.9237499999995,41.020624999999995
160,2020-02-20,3295.6,36.62,8,2,3289.1760000000004,36.95,3581.9237499999995,41.020624999999995
161,2020-02-19,3256.2,36.49,8,2,3289.1760000000004,36.95,3581.9237499999995,41.020624999999995
